date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:49	152/152	---MCZ	200	added ('OK')	text/plain	etag:f8f403469f69862a51b0588e29526e96	http://www.ejner4autism.com/robots.txt		(from )
19:09:50	19756/19756	---MCZ	200	added ('OK')	text/html	etag:5b5e8820cd10502a79c106630709460c	http://www.ejner4autism.com/	C:/My%20Web%20Sites/ejner/www.ejner4autism.com/index.html	(from )
19:09:50	45516/45516	---MCZ	200	added ('OK')	text/css	etag:a01fb9500cca90d7353b7e5a0f8ae47b	http://www.ejner4autism.com/site.css?v=	C:/My%20Web%20Sites/ejner/www.ejner4autism.com/siteec92.css	(from http://www.ejner4autism.com/)
19:09:50	41029/41029	---M-Z	200	added ('OK')	application/x-javascript	etag:%226e4534b164fd11:0%22	http://img1.wsimg.com/starfield/duel/v2.5.8/duel.js?appid=O3BkA5J1	C:/My%20Web%20Sites/ejner/img1.wsimg.com/starfield/duel/v2.5.8/duel35bd.js	(from http://www.ejner4autism.com/)
19:09:51	19756/19756	---MCZ	200	added ('OK')	text/html	etag:5b5e8820cd10502a79c106630709460c	http://www.ejner4autism.com/home.html	C:/My%20Web%20Sites/ejner/www.ejner4autism.com/home.html	(from http://www.ejner4autism.com/)
19:09:51	16982/16982	---MCZ	200	added ('OK')	text/html	etag:25401d9d20fc49ec38d0a95f78de4c1f	http://www.ejner4autism.com/projects.html	C:/My%20Web%20Sites/ejner/www.ejner4autism.com/projects.html	(from http://www.ejner4autism.com/)
19:09:51	22144/22144	---MCZ	200	added ('OK')	text/html	etag:bdd398b1320d9a8920f75a5110c3c832	http://www.ejner4autism.com/terapias.html	C:/My%20Web%20Sites/ejner/www.ejner4autism.com/terapias.html	(from http://www.ejner4autism.com/)
19:09:51	16430/16430	---MCZ	200	added ('OK')	text/html	etag:9a5e095e51d8b25db7f3695d8ae04cef	http://www.ejner4autism.com/diagnostico.html	C:/My%20Web%20Sites/ejner/www.ejner4autism.com/diagnostico.html	(from http://www.ejner4autism.com/)
19:09:52	25842/25842	---MCZ	200	added ('OK')	text/html	etag:9405581d3fe6f20e02e59528a3052c99	http://www.ejner4autism.com/material.html	C:/My%20Web%20Sites/ejner/www.ejner4autism.com/material.html	(from http://www.ejner4autism.com/)
19:09:52	5969/5969	---M-Z	200	added ('OK')	application/x-javascript	etag:%2202b9e6ff26d11:0%22	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.5.min.js	C:/My%20Web%20Sites/ejner/img1.wsimg.com/tcc/tcc_l.combined.1.0.5.min.js	(from http://www.ejner4autism.com/)
19:09:57	356633/356633	---M-Z	200	added ('OK')	application/javascript	etag:%225ba11623-57119%22	http://s7.addthis.com/js/300/addthis_widget.js	C:/My%20Web%20Sites/ejner/s7.addthis.com/js/300/addthis_widget.js	(from http://www.ejner4autism.com/)
19:09:57	373/373	---M--	200	added ('OK')	image/png	etag:%228d2d52d94c39d31:0%22	https://img1.wsimg.com/wst/v7/WSB7_J_20170929_1052_WSB-17089_933/v2/images/wsb-slideshow-nav-arrows-sprt.png	C:/My%20Web%20Sites/ejner/img1.wsimg.com/wst/v7/WSB7_J_20170929_1052_WSB-17089_933/v2/images/wsb-slideshow-nav-arrows-sprt.png	(from http://www.ejner4autism.com/site.css?v=)
19:09:58	964/964	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Oct%202018%2022:09:59%20GMT	http://www.ejner4autism.com/css!starfield/sf.core.css	C:/My%20Web%20Sites/ejner/www.ejner4autism.com/css!starfield/sf.core.css	(from http://img1.wsimg.com/starfield/duel/v2.5.8/duel.js?appid=O3BkA5J1)
